ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2,mjd
165.7966424,38.10321404,0,713,3,1,8,1,zg,2019-12-20 12:14:22.355+00,2458838.0099769,30.0,20191220509965,3.23604,1.02,20.4097,165.7966145707,38.1031785891,58837.50997690018
165.8041954,38.09341905,0,713,3,1,8,1,zg,2020-02-21 07:36:23.284+00,2458900.8169329,30.0,20200221316910,2.43944,1.043,20.9847,165.804161904,38.09338727433,58900.31693289988
165.79212847,38.11067992,0,713,3,1,8,1,zg,2020-03-28 06:21:03.363+00,2458936.7646181,30.0,20200328264618,2.14325,1.008,21.1332,165.7920907209,38.1106507472,58936.26461810013
165.80014227,38.09294108,0,713,3,1,8,1,zg,2020-04-24 05:13:17.329+00,2458963.7175579,30.0,20200424217558,1.87126,1.013,21.3135,165.8000871631,38.09290856264,58963.21755790012
165.81251822,38.09384512,0,713,3,1,8,1,zg,2020-06-01 04:06:38.233+00,2459001.6712731,30.0,20200601171273,1.9357,1.091,20.0381,165.8124637979,38.09381903838,59001.17127310019
165.80333339,38.07997996,33554440,713,3,1,8,1,zg,2020-07-07 05:08:49.864+00,2459037.714456,30.0,20200707214456,5.45738,2.101,18.7034,165.8033047155,38.07993862322,59037.2144559999
