#PS1ID,Filter,Mag,Magerr,MJD,Phot_flag,Infobits
153851661137291254,g,13.743,0.013,59528.523981,0,4096
153851661137291254,g,13.512,0.007,59509.508458,0,4096
153851661137291254,g,13.826,0.010,59524.536676,0,4096
153851661137291254,g,13.518,0.013,59538.412580,0,4096
153851661137291254,g,13.484,0.013,59550.471144,0,4096
153851661137291254,g,13.802,0.009,59522.514784,0,4096
153851661137291254,g,13.442,0.011,59532.517333,0,4096
153851661137291254,g,13.661,0.008,59530.431077,32,67112960
153851661137291254,g,13.683,0.013,59512.492166,0,4096
153851661137291254,g,13.839,0.011,59526.473112,0,4096
153851661137291254,g,12.975,0.014,59931.530849,0,4096
153851661137291254,g,13.373,0.011,59628.208170,0,4096
153851661137291254,g,13.099,0.012,59736.237815,0,4096
153851661137291254,g,13.415,0.012,59674.375177,0,4096
153851661137291254,g,13.242,0.011,59701.271311,0,4096
153851661137291254,g,13.482,0.011,59717.186722,0,4096
153851661137291254,g,12.854,0.006,59935.388037,0,4096
153851661137291254,g,13.042,0.017,59639.291179,0,4096
153851661137291254,g,13.323,0.019,59722.208307,48,4096
153851661137291254,g,13.019,0.015,59909.488501,0,4096
153851661137291254,g,13.279,0.013,59696.205357,0,67112960
153851661137291254,g,13.289,0.011,59694.362814,0,4096
153851661137291254,g,12.962,0.015,59933.447088,0,67112960
153851661137291254,g,13.360,0.010,59703.264391,0,4096
153851661137291254,g,13.531,0.009,59678.326995,0,4096
153851661137291254,g,13.148,0.010,59636.448593,0,4096
153851661137291254,g,13.501,0.012,59676.329955,0,4096
153851661137291254,g,12.730,0.009,59937.457257,0,67112960
153851661137291254,g,13.200,0.012,59710.208191,0,4096
153851661137291254,g,13.141,0.007,59902.473292,0,4096
153851661137291254,g,13.473,0.011,59683.298637,0,4096
153851661137291254,g,13.038,0.016,59900.489393,0,4096
153851661137291254,g,12.982,0.013,59906.429518,0,4096
153851661137291254,g,13.267,0.009,59699.221093,0,4096
153851661137291254,g,13.365,0.016,59724.205093,0,4096
153851661137291254,g,13.349,0.007,59722.264309,16,4096
153851661137291254,g,13.298,0.011,59726.221414,0,4096
153851661137291254,g,12.980,0.022,59904.430905,0,67112960
153851661137291254,g,13.115,0.013,59731.217830,0,4096
153851661137291254,g,13.466,0.011,59714.257873,0,4096
153851661137291254,g,13.067,0.011,59928.535574,0,4096
153851661137291254,g,13.426,0.010,59688.265593,0,4096
153851661137291254,g,13.042,0.010,59888.431547,0,67112960
153851661137291254,g,13.273,0.018,59893.427291,0,4096
153851661137291254,g,13.301,0.019,59623.306813,0,4096
153851661137291254,g,13.335,0.017,59625.249020,0,4096
153851661137291254,g,13.261,0.020,59740.244373,0,4096
153851661137291254,g,13.391,0.011,59690.280713,0,4096
153851661137291254,g,13.101,0.014,59738.199598,0,4096
153851661137291254,g,13.277,0.009,59922.435948,0,4096
153851661137291254,g,13.194,0.022,59898.449007,0,4096
153851661137291254,g,13.324,0.018,59712.259686,0,67112960
153851661137291254,g,13.463,0.005,59685.384779,0,4096
153851661137291254,g,13.393,0.014,59884.512858,48,67112960
153851661137291254,g,13.350,0.015,59671.425960,0,4096
153851661137291254,g,13.742,0.006,58487.479704,0,4096
153851661137291254,g,13.637,0.015,58986.187984,0,4097
153851661137291254,g,13.616,0.013,58985.164969,0,4096
153851661137291254,g,13.769,0.011,58482.500536,0,4096
153851661137291254,g,13.309,0.013,58853.519039,0,4096
153851661137291254,g,13.109,0.016,58892.358395,0,4096
153851661137291254,g,13.523,0.008,58540.400065,0,4096
153851661137291254,g,13.712,0.008,58439.486375,0,4096
153851661137291254,g,13.443,0.014,58206.274189,0,4096
153851661137291254,g,13.762,0.014,58560.206448,0,4096
153851661137291254,g,13.448,0.013,58582.146769,0,67112960
153851661137291254,g,13.107,0.014,58892.357943,0,4096
153851661137291254,g,13.715,0.009,59273.318929,0,4096
153851661137291254,g,13.870,0.009,59250.461773,0,4096
153851661137291254,g,13.673,0.008,58507.512510,0,4096
153851661137291254,g,13.582,0.012,58522.462012,0,4096
153851661137291254,g,13.512,0.014,58539.252215,0,4096
153851661137291254,g,13.847,0.012,59250.461310,0,4096
153851661137291254,g,13.309,0.012,58853.518587,0,4096
153851661137291254,g,13.341,0.010,58580.254051,0,4096
153851661137291254,g,13.727,0.010,59273.319392,0,4096
153851661137291254,g,13.780,0.011,58562.254114,0,4096
153851661137291254,g,13.243,0.012,58837.512867,0,4096
153851661137291254,g,13.561,0.014,58970.235270,0,4096
153851661137291254,g,13.560,0.012,58970.235744,0,4096
153851661137291254,g,13.667,0.014,58567.500440,0,4096
153851661137291254,g,13.641,0.018,58985.165432,0,4096
153851661137291254,g,13.639,0.017,58986.188447,0,4097
153851661137291254,g,13.135,0.007,58903.329908,0,4097
153851661137291254,g,13.144,0.007,58903.329456,0,4096
153851661137291254,g,13.228,0.012,58837.513318,0,4096
153851661137291254,g,13.759,0.016,58506.495096,0,4096
153851661137291254,g,13.500,0.012,58587.253242,0,4096
153851661137291254,g,13.253,0.010,58854.542067,0,4096
153851661137291254,g,13.749,0.011,58561.249257,0,4096
153851661137291254,g,13.259,0.004,58854.541627,0,4096
153851661137291254,g,13.719,0.008,59268.219837,0,4096
153851661137291254,g,13.366,0.012,59165.514807,0,4096
