ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.77125931,38.14789097,0,713,3,1,8,1,zg,2018-05-20 04:07:36.556+00,2458258.6719444,30.0,20180520171910,1.92468,1.034,20.9628,165.771226697,38.14783969972
165.77175866,38.1511403,67108864,713,3,1,8,1,zg,2018-05-21 04:10:11.169+00,2458259.6737384,30.0,20180521173715,1.85548,1.039,17.8559,165.7717600505,38.1511059892
165.7728626,38.15571911,67108864,713,3,1,8,1,zg,2018-05-29 04:22:34.03+00,2458267.682338,30.0,20180529182315,2.92042,1.094,19.5785,165.7728284287,38.15568506911
165.77301423,38.15532341,67108864,713,3,1,8,1,zg,2018-05-30 04:07:19.526+00,2458268.6717477,30.0,20180530171725,4.26575,1.077,19.2229,165.7729822551,38.1552822011
165.7738161,38.15858181,67108864,713,3,1,8,1,zg,2018-05-31 05:07:47.635+00,2458269.7137384,30.0,20180531213738,2.71939,1.207,20.0318,165.7737846573,38.15855483115
165.77385582,38.15855742,67108864,713,3,1,8,1,zg,2018-05-31 05:09:09.286+00,2458269.7146875,30.0,20180531214664,2.99446,1.211,19.8969,165.7738275643,38.15852440838
165.7749354,38.16251015,0,713,3,1,8,1,zg,2018-06-05 05:39:16.273+00,2458274.7356019,30.0,20180605235544,1.98881,1.385,21.2234,165.774906555,38.16246482445
165.77454503,38.16213498,67108864,713,3,1,8,1,zg,2018-06-05 05:42:05.881+00,2458274.7375579,30.0,20180605237488,2.047,1.398,21.2981,165.7745229077,38.16209253139
165.77451199,38.11374114,0,713,3,1,8,1,zg,2018-06-08 04:54:36.993+00,2458277.7045833,30.0,20180608204583,1.97003,1.262,21.0139,165.7744851995,38.11370643665
165.77424889,38.11363173,0,713,3,1,8,1,zg,2018-06-08 04:55:58.544+00,2458277.7055324,30.0,20180608205509,2.19641,1.266,20.8882,165.7742133304,38.1135812971
165.77539205,38.11729175,0,713,3,1,8,1,zg,2018-06-09 04:50:49.518+00,2458278.701956,30.0,20180609201956,2.40995,1.262,20.7889,165.7753817098,38.11724866408
165.77529216,38.12419631,0,713,3,1,8,1,zg,2018-06-11 05:12:08.242+00,2458280.7167593,30.0,20180611216736,2.04302,1.37,21.034,165.7752620911,38.12415986961
165.77506698,38.12413342,0,713,3,1,8,1,zg,2018-06-11 05:13:27.291+00,2458280.7176736,30.0,20180611217662,2.13169,1.376,20.9335,165.7750428602,38.12409510849
165.77512656,38.13836271,0,713,3,1,8,1,zg,2018-06-13 06:15:41.742+00,2458282.7608912,30.0,20180613260787,2.59484,1.806,20.3844,165.7751008642,38.13830092265
165.77451934,38.11686535,0,713,3,1,8,1,zg,2018-06-14 05:47:48.369+00,2458283.7415278,30.0,20180614241516,2.16972,1.624,20.7738,165.7744799879,38.1168365761
