1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20260405" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
10 2.5958682111999992E-004 4.9999999999998251E-001 1.7300101632678819E+000 1.1747758116331521E+000 3.6067440532267074E+000 5.4771568533044377E+000 -2.6949097590002209E+000 1.0902315745717800E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870471661754243E+000 8.5000496627254163E-001 2.3269379206057149E+001 0.0000000000000000E+000 8.1886495838391304E+005 7.3069068811711168E+003 9.3102178050109059E+007 -2.0577992098852317E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577992098852317E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859656224554E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.5132040624391651E-011
11 3.2150418534399988E-004 4.9999999999997857E-001 1.7236966939231169E+000 1.1746896368927020E+000 3.6052087732607414E+000 5.4771568678800984E+000 -2.6949097200705907E+000 1.0902315799297737E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870471279675208E+000 8.5000496627254163E-001 2.3269379142223528E+001 0.0000000000000000E+000 8.1862127013394167E+005 7.4153766798898596E+003 9.4465518011623651E+007 -2.0577992144503547E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577992144503547E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859701875766E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.4250418658331446E-011
12 3.9580502241279986E-004 4.9999999999997391E-001 1.7169432489210770E+000 1.1745938933270796E+000 3.6035682837930425E+000 5.4771568841519871E+000 -2.6949096797859289E+000 1.0902315855961225E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870470924799408E+000 8.5000496627254141E-001 2.3269379082769568E+001 0.0000000000000000E+000 8.1835060783649026E+005 7.5332504362354384E+003 9.5945973876631483E+007 -2.0577992150290740E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577992150290740E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859707662938E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.3310583734184127E-011
13 4.8496602689535978E-004 4.9999999999996836E-001 1.7097930552070486E+000 1.1744883862347464E+000 3.6018334889107022E+000 5.4771569022803899E+000 -2.6949096381198054E+000 1.0902315915898788E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870470601990721E+000 8.5000496627254163E-001 2.3269379028486497E+001 0.0000000000000000E+000 8.1805244817707769E+005 7.6601646785449484E+003 9.7538696885011911E+007 -2.0577992106841066E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577992106841066E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859664213239E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.2319954737531111E-011
14 5.9195923227443165E-004 4.9999999999996181E-001 1.7023002147915824E+000 1.1743731056035946E+000 3.6000179191224118E+000 5.4771569224788372E+000 -2.6949095948805661E+000 1.0902315979519502E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870470314197981E+000 8.5000496627254141E-001 2.3269378979847435E+001 0.0000000000000000E+000 8.1772679300176748E+005 7.7955404119698451E+003 9.9236123187014148E+007 -2.0577992004670975E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577992004670975E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859562043123E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.1287432570163789E-011
15 7.2035107872931792E-004 4.9999999999995409E-001 1.6945474860443885E+000 1.1742484358017831E+000 3.5981420718365191E+000 5.4771569449528101E+000 -2.6949095498038744E+000 1.0902316047296368E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870470062455523E+000 8.5000496627254163E-001 2.3269378937010611E+001 0.0000000000000000E+000 8.1737476035121724E+005 7.9382290482869521E+003 1.0102352501700211E+008 -2.0577991835730533E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577991835730533E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859393102645E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.0223127763125415E-011
16 8.7442129447518155E-004 4.9999999999994493E-001 1.6866861251206322E+000 1.1741151846980351E+000 3.5962433571574541E+000 5.4771569698588047E+000 -2.6949095026230410E+000 1.0902316119654493E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870469846075409E+000 8.5000496627254163E-001 2.3269378899852683E+001 0.0000000000000000E+000 8.1699866405947530E+005 8.0857114308836180E+003 1.0286884868648607E+008 -2.0577991594444633E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577991594444633E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859151816714E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.9140624861910541E-011
17 1.0593055533702177E-003 4.9999999999993416E-001 1.6786491084999031E+000 1.1739739969865093E+000 3.5943046968580346E+000 5.4771569976273007E+000 -2.6949094525904802E+000 1.0902316197777134E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870469662850232E+000 8.5000496627254163E-001 2.3269378867984440E+001 0.0000000000000000E+000 8.1660035580516770E+005 8.2394162211656221E+003 1.0479025467455180E+008 -2.0577991271690976E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577991271690976E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975858829063018E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8061907134045032E-011
18 1.2811666640442612E-003 4.9999999999992145E-001 1.6706537507948174E+000 1.1738269037937510E+000 3.5923794040281423E+000 5.4771570284749771E+000 -2.6949093992398567E+000 1.0902316282349259E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870469509636559E+000 8.5000496627254163E-001 2.3269378840874484E+001 0.0000000000000000E+000 8.1618559398464905E+005 8.3953516738650069E+003 1.0673731001250191E+008 -2.0577990863836352E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577990863836352E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975858421208347E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.6978772962901198E-011
19 1.5473999968531134E-003 4.9999999999990663E-001 1.6628087865069414E+000 1.1736754645866654E+000 3.5904938825597155E+000 5.4771570628129789E+000 -2.6949093417812180E+000 1.0902316374576346E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870469382611990E+000 8.5000496627254163E-001 2.3269378817868489E+001 0.0000000000000000E+000 8.1575879770469049E+005 8.5513620983474921E+003 1.0868289989795062E+008 -2.0577990364819843E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577990364819843E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975857922191786E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.5920447939555624E-011
