ZZ Cep    B F0IV-V  1.900 0.190 2.900 0.290 3.813 0.022  1.130 0.030       
AH Cep    A B0.5Vn 15.800 1.580 6.300 0.630 4.477 0.022  4.460 0.030       
AH Cep    B B0.5Vn 13.700 1.370 5.800 0.580 4.473 0.022  4.370 0.030       
DH Cep    A O5.5V  32.700 1.700 8.690 0.300 4.613 0.021  5.280 0.090 -4.66 0.25
DH Cep    B O6.5V  29.600 1.600 8.580 0.300 4.597 0.022  5.210 0.090 -4.55 0.25
EI Cep    A F3IV-V  1.772 0.007 2.896 0.048 3.829 0.006  1.193 0.030  1.71 0.08
EI Cep    B F1IV-V  1.680 0.006 2.329 0.044 3.842 0.006  1.055 0.030  2.05 0.08
EK Cep    A A1.5V   2.029 0.023 1.579 0.007 3.954 0.010  1.170 0.040  1.89 0.10
EY Cep    A F0      1.523 0.008 1.463 0.010 3.851 0.010  0.690 0.040  2.93 0.10
EY Cep    B F0      1.498 0.014 1.468 0.010 3.843 0.010  0.660 0.040  3.00 0.10
TV Cet    A F2V     1.390 0.050 1.500 0.050 3.820 0.010  0.580 0.050  3.20 0.10
TV Cet    B F5V     1.270 0.040 1.260 0.050 3.803 0.007  0.365 0.040  3.75 0.10
XY Cet    A Am      1.760 0.020 1.880 0.070 3.875 0.010  1.000 0.050  2.15 0.15
XY Cet    B Am      1.630 0.020 1.880 0.070 3.860 0.010  0.940 0.050  2.30 0.15
RZ Cha    A F5V     1.518 0.021 2.264 0.017 3.810 0.010  0.900 0.040  2.46 0.10
RZ Cha    B F5V     1.509 0.027 2.264 0.017 3.810 0.010  0.900 0.040  2.46 0.10
TY CrA    A B7-9    3.160 0.020 1.800 0.100 4.079 0.018  1.780 0.087       
alf CrB   B G5V     0.920 0.030 0.900 0.040 3.763 0.030 -0.090 0.030       
Y Cyg     A O9.5V  17.700 0.400 7.700 2.500 4.543 0.030  4.896 0.280 -4.00 0.10
Y Cyg     B O9V    16.800 0.500 8.400 2.800 4.555 0.030  5.016 0.280 -4.40 0.10
CG Cyg    A K0      0.940 0.012 0.890 0.013 3.721 0.015 -0.260 0.060  5.55 0.10
CG Cyg    B K3.5    0.810 0.013 0.840 0.014 3.674 0.006 -0.510 0.030  6.40 0.12
MY Cyg    A F0m     1.811 0.025 2.193 0.050 3.845 0.010  1.010 0.040  2.16 0.11
MY Cyg    B F0m     1.786 0.030 2.193 0.050 3.848 0.010  1.030 0.040  2.13 0.11
V380 Cyg  B B2V     6.950 0.250 3.740 0.070 4.312 0.011  3.350 0.040 -1.69 0.10
V442 Cyg  A F1V     1.560 0.020 2.070 0.030 3.839 0.005  0.930 0.020  2.33 0.06
V442 Cyg  B F2V     1.410 0.020 1.660 0.030 3.833 0.005  0.720 0.020  2.88 0.06
V477 Cyg  A A3V     1.790 0.120 1.570 0.050 3.939 0.015  1.100 0.030  1.94 0.10
V477 Cyg  B F2-3    1.350 0.070 1.270 0.040 3.826 0.015  0.470 0.030  3.45 0.10
V478 Cyg  A O9.5   16.600 0.900 7.430 0.120 4.485 0.015  4.630 0.015       
V478 Cyg  B O9.5   16.300 0.900 7.430 0.120 4.485 0.015  4.630 0.015       
V541 Cyg  A B9.5V   2.240 0.090 1.880 0.030 3.995 0.010  1.490 0.020  1.15 0.04
V541 Cyg  B B9.5V   2.240 0.080 1.790 0.040 3.998 0.010  1.450 0.020  1.26 0.05
V909 Cyg  A A2      1.980 0.030 1.610 0.030                           1.88 0.09
V909 Cyg  B A5      1.750 0.030 1.520 0.030                           2.32 0.12
V1143 Cyg A F5V     1.391 0.016 1.346 0.023 3.810 0.007  0.450 0.030  3.60 0.08
V1143 Cyg B F5V     1.347 0.013 1.323 0.023 3.806 0.007  0.420 0.030  3.67 0.08
V1765 Cyg B B0-1V  12.200 1.220 5.900 0.590                                
UZ Dra    A F7      1.340 0.020 1.310 0.030 3.793 0.008  0.350 0.050  3.68 0.09
UZ Dra    B G0      1.230 0.020 1.150 0.020 3.777 0.008  0.180 0.050  4.22 0.08
BS Dra    A F5V     1.363 0.054 1.508 0.043 3.826 0.030  0.629 0.009       
BS Dra    B F5V     1.361 0.054 1.434 0.044 3.824 0.001  0.578 0.010       
CM Dra    A M4Ve    0.231 0.001 0.252 0.002 3.498 0.014 -2.260 0.063 12.77 0.12
CM Dra    B M4Ve    0.214 0.001 0.235 0.002 3.498 0.014 -2.319 0.063 12.92 0.12
CW Eri    A F1      1.590 0.020 2.080 0.050 3.835 0.006  0.930 0.030  2.34 0.06
CW Eri    B F4      1.330 0.010 1.560 0.070 3.817 0.006  0.610 0.050  3.14 0.10
YY Gem    A M1Ve    0.599 0.005 0.619 0.006 3.582 0.011 -1.135 0.009  8.95 0.03
YY Gem    B M1Ve    0.599 0.005 0.619 0.006 3.582 0.011 -1.135 0.009  8.95 0.03
RX Her    A B9V     2.750 0.060 2.440 0.100 4.015 0.030  1.790 0.120  0.48 0.20
RX Her    B A0V     2.330 0.050 1.960 0.100 3.985 0.020  1.480 0.090  1.12 0.15
TX Her    A A8V     1.620 0.040 1.580 0.050 3.863 0.010  0.800 0.050  2.64 0.15
