#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
1SDSSJ034831.08-061400.5|DA/M  |51908| 463|474|17912| 1564|7.68|0.35| 0.46|0.18| 723| 149| 3|1021| 201|s/e/h    |
0SDSSJ034831.08-061400.5|DA/M  |51908| 463|474|10793|  549|8.53|0.42| 0.94|0.24| 239|  74| 3|1021| 201|s/e/h    |
1SDSSJ035037.53-063019.7|DA/M  |51908| 463|170|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 5| 997| 510|s/e      |
0SDSSJ035037.53-063019.7|DA/M  |51908| 463|170|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 5| 997| 510|s/e      |
1SDSSJ035256.11-000841.7|DA/M  |52901|1242| 80|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 6| 455| 210|s/e/h    |
0SDSSJ035256.11-000841.7|DA/M  |52901|1242| 80|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 6| 455| 210|s/e/h    |
1SDSSJ035525.24-052240.6|DA/M  |53741|2071|430|24726| 1998|7.17|0.28| 0.32|0.07|1562| 321|-1|   0|   0|         |
0SDSSJ035525.24-052240.6|DA/M  |53741|2071|430| 9187|  213|8.45|0.33| 0.89|0.20| 197|  46|-1|   0|   0|         |
1SDSSJ035827.27-044042.3|DA/M  |53738|2051|522|17304|  838|7.96|0.19| 0.59|0.12| 495|  61| 3| 428|  84|a        |
0SDSSJ035827.27-044042.3|DA/M  |53738|2051|522|13588| 4124|8.36|0.77| 0.84|0.43| 307| 156| 3| 428|  84|a        |
1SDSSJ035832.98-052830.1|DA/M  |53741|2071|520| 8773|  125|8.18|0.24| 0.71|0.16| 205|  34| 4| 866| 255|re       |
0SDSSJ035832.98-052830.1|DA/M  |53741|2071|520|25302| 1715|6.75|0.24| 0.24|0.05|1927| 287| 4| 866| 255|         |
1SDSSJ035912.46-044630.2|DA:/M |53741|2071|524| 8282|  784|8.85|1.26| 1.12|0.61| 216| 177| 3| 536| 106|re       |
0SDSSJ035912.46-044630.2|DA:/M |53741|2071|524|37857|10758|7.13|1.06| 0.36|0.41|5119|2913| 3| 536| 106|         |
1SDSSJ040004.56-062834.2|DC/M  |53741|2071| 51|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 5| 418| 214|         |
1SDSSJ044450.66-010936.0|DB/M  |52263| 797|289|16481|   32|8.36|0.02| 0.00|0.00|   0|   0| 5| 821| 420|         |3
1SDSSJ044724.36+002149.6|DA/M  |52263| 797|477|17912|  873|7.58|0.20| 0.42|0.09| 807| 103| 5| 653| 334|s/e      |3
0SDSSJ044724.36+002149.6|DA/M  |52263| 797|477|10548|  250|8.35|0.22| 0.83|0.15| 288|  45| 5| 653| 334|s/e      |
1SDSSJ044824.30-011241.8|DA/M  |52263| 797| 81|18974| 1541|7.43|0.30| 0.37|0.12|1008| 199| 4|1456| 429|s/e      |3
0SDSSJ044824.30-011241.8|DA/M  |52263| 797| 81|10073|  278|8.25|0.35| 0.76|0.23| 282|  67| 4|1456| 429|s/e      |
1SDSSJ045248.17-003934.3|DA/M  |52263| 797| 65|13904| 2439|6.14|0.72| 0.06|0.15|1651| 498| 4| 428| 126|s/e      |3
0SDSSJ045248.17-003934.3|DA/M  |52263| 797| 65| 9509|  454|7.19|1.29| 0.26|0.64| 597| 346| 4| 428| 126|s/e      |
1SDSSJ052624.54+621344.2|DA/M  |53682|2300|488|14228|  484|8.74|0.10| 1.06|0.05| 133|  11| 3| 197|  39|         |3
0SDSSJ052624.54+621344.2|DA/M  |53682|2300|488|18974|  504|8.13|0.10| 0.70|0.07| 288|  21| 3| 197|  39|         |
1SDSSJ053157.67+615032.5|DA/M  |53709|2302|157|32222| 1183|8.20|0.24| 0.77|0.15| 968| 170| 3|1589| 313|         |3
0SDSSJ053157.67+615032.5|DA/M  |53709|2302|157| 9401|  198|9.50|0.04| 1.46|0.01|  56|   6| 3|1589| 313|         |
1SDSSJ053409.05+614531.6|DA/M  |53709|2302|108|26801| 2220|7.73|0.36| 0.50|0.19|1221| 272| 3|2471| 487|         |3
0SDSSJ053409.05+614531.6|DA/M  |53709|2302|108| 9619|  327|9.23|0.29| 1.32|0.15| 122|  51| 3|2471| 487|         |
1SDSSJ053653.53-000534.4|DA/M  |53430|2072| 78|32595| 1362|7.56|0.30| 0.46|0.12|1357| 275| 3|1277| 251|         |3
0SDSSJ053653.53-000534.4|DA/M  |53430|2072| 78| 8475|  201|8.89|0.37| 1.14|0.19|  93|  33| 3|1277| 251|         |
1SDSSJ072543.88+414519.3|DA/M  |53313|1864|488|18756| 1021|7.89|0.20| 0.56|0.12| 561|  72| 3| 836| 165|re/s/h   |
0SDSSJ072543.88+414519.3|DA/M  |53313|1864|488|11045|  450|8.69|0.20| 1.03|0.11| 178|  29| 3| 836| 165|s/h      |
1SDSSJ072920.73+430410.1|DA/M  |53312|1865|137|11302|  252|8.38|0.14| 0.85|0.09| 149|  16| 5| 247| 126|s/h      |
0SDSSJ072920.73+430410.1|DA/M  |53312|1865|137|16336|  488|7.73|0.12| 0.47|0.06| 345|  26| 5| 247| 126|s/h      |
1SDSSJ073031.42+373018.4|DA/M  |51877| 431|263|24726| 3232|7.89|0.54| 0.58|0.32|1085| 356| 3| 981| 193|s/e/h    |
0SDSSJ073031.42+373018.4|DA/M  |51877| 431|263| 9844|  612|8.97|0.55| 1.18|0.28| 181| 102| 3| 981| 193|s/e/h    |
1SDSSJ073250.34+393633.9|DA/M: |53047|1733|603|11173|  366|8.38|0.20| 0.85|0.12| 184|  26|-1|   0|   0|s/e/h    |4
0SDSSJ073250.34+393633.9|DA/M: |53047|1733|603|16336|  718|7.74|0.18| 0.48|0.09| 424|  45|-1|   0|   0|s/e/h    |
1SDSSJ073332.71+384600.1|WD/M  |51877| 431|321|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1|1660| 325|h        |
0SDSSJ073332.71+384600.1|WD/M  |51877| 431|321|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1|1660| 325|h        |
1SDSSJ073414.54+324135.6|DA/M: |51959| 541|353|16336|  740|7.83|0.18| 0.52|0.10| 532|  58| 8| 258| 104|         |
0SDSSJ073414.54+324135.6|DA/M: |51959| 541|353|11565|  513|8.34|0.21| 0.82|0.14| 282|  42| 8| 258| 104|         |
1SDSSJ073518.65+325847.2|DA/M  |51959| 541|347|14560|  705|7.62|0.16| 0.42|0.07| 493|  49| 4| 679| 200|s/e/h    |
0SDSSJ073518.65+325847.2|DA/M  |51959| 541|347|11972|  460|7.85|0.24| 0.52|0.14| 337|  47| 4| 679| 200|s/e/h    |
1SDSSJ073700.60+384733.8|DA/M  |51877| 431|527|33354| 2679|7.75|0.70| 0.54|0.39|1780| 734| 3|1884| 371|s/e/h    |
0SDSSJ073700.60+384733.8|DA/M  |51877| 431|527| 8773|  375|9.50|0.23| 1.46|0.09|  70|  39| 3|1884| 371|s/e/h    |
1SDSSJ073732.85+225355.1|DA/M  |53379|2079|403|13904| 1087|7.27|0.27| 0.30|0.08| 865| 157| 4|1378| 406|s        |
0SDSSJ073732.85+225355.1|DA/M  |53379|2079|403|11433|  527|7.64|0.43| 0.42|0.24| 510| 122| 4|1378| 406|s        |
1SDSSJ073906.94+274353.9|DA/M  |52339| 888|514|18542| 1381|7.96|0.29| 0.60|0.18| 551| 104| 4| 808| 238|s/e/h    |
0SDSSJ073906.94+274353.9|DA/M  |52339| 888|514|11302|  689|8.72|0.31| 1.05|0.17| 178|  46| 4| 808| 238|s/e/h    |
1SDSSJ073942.60+171438.6|DC/M  |53437|2074|299|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 460| 135|s        |
1SDSSJ074011.17+385909.0|DA/M  |51873| 433|324|12828| 1098|7.73|0.31| 0.46|0.17| 398|  71| 5| 499| 256|s/e/h    |
0SDSSJ074011.17+385909.0|DA/M  |51873| 433|324|12681| 1092|7.73|0.31| 0.46|0.17| 398|  70| 5| 499| 256|s/e/h    |
1SDSSJ074128.93+414327.9|DA/M  |53035|1735| 22|18974| 6790|8.16|1.07| 0.72|0.60| 854| 535| 2|1967| 468|s/e/h    |
0SDSSJ074128.93+414327.9|DA/M  |53035|1735| 22|11302| 7253|9.00|1.12| 1.20|0.58| 243| 195| 2|1967| 468|s/e/h    |
1SDSSJ074147.05+220655.0|DA/M  |52577| 927| 85|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4|1180| 348|s/e/h    |
0SDSSJ074147.05+220655.0|DA/M  |52577| 927| 85|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4|1180| 348|s/e/h    |
1SDSSJ074154.34+380850.0|DA/M  |51873| 433|272|19640|  476|7.19|0.09| 0.31|0.02| 496|  35| 4| 562| 165|s/e/h    |
0SDSSJ074154.34+380850.0|DA/M  |51873| 433|272| 9844|   76|8.35|0.10| 0.82|0.08| 101|   7| 4| 562| 165|s/e/h    |
1SDSSJ074207.90+275845.2|DA/M: |53730|2075|356|17505| 1427|9.22|0.20| 1.31|0.10| 295|  82|-1|   0|   0|         |
0SDSSJ074207.90+275845.2|DA/M: |53730|2075|356|16717| 1626|9.24|0.23| 1.32|0.12| 272|  90|-1|   0|   0|         |
1SDSSJ074207.90+275845.2|DA/M: |53737|2075|352|15782| 2505|9.50|0.09| 1.46|0.05| 155|  31| 9| 392|  14|         |
0SDSSJ074207.90+275845.2|DA/M: |53737|2075|352|17707| 4372|9.50|0.19| 1.46|0.10| 171|  75| 9| 392|  14|         |
1SDSSJ074208.33+280754.3|DA/M: |53730|2075|359|15071| 2265|7.84|0.41| 0.52|0.25| 640| 156|-1|   0|   0|         |
0SDSSJ074208.33+280754.3|DA/M: |53730|2075|359|12250|  696|8.15|0.22| 0.70|0.14| 420|  61|-1|   0|   0|         |
1SDSSJ074208.33+280754.3|DA/M: |53737|2075|356|16336|  884|7.77|0.21| 0.49|0.11| 688|  85|-1|   0|   0|         |
0SDSSJ074208.33+280754.3|DA/M: |53737|2075|356|11565|  545|8.37|0.25| 0.84|0.16| 343|  62|-1|   0|   0|         |
1SDSSJ074232.54+234244.4|DA/M  |52314| 857|  7|37424| 7618|7.22|0.99| 0.38|0.41|2652|1445| 2|1227| 292|s/e/h    |
0SDSSJ074232.54+234244.4|DA/M  |52314| 857|  7| 8187|  658|9.38|0.64| 1.40|0.29|  63|  50| 2|1227| 292|s/e/h    |
1SDSSJ074301.93+410655.2|DA/M  |51884| 432|444|18974|  254|7.76|0.05| 0.50|0.03| 256|   9| 4| 310|  91|s/e/a/h  |
0SDSSJ074301.93+410655.2|DA/M  |51884| 432|444|10793|   70|8.65|0.05| 1.01|0.03|  77|   3| 4| 310|  91|s/e/a/h  |
1SDSSJ074329.62+283528.0|DA/M  |53737|2075|421|21045| 2322|8.10|0.39| 0.69|0.24|1036| 265| 4| 686| 202|s        |
0SDSSJ074329.62+283528.0|DA/M  |53737|2075|421|11302| 1971|9.11|0.40| 1.25|0.21| 217| 104| 4| 686| 202|s        |
1SDSSJ074329.62+283528.0|DA/M  |53730|2075|427|23886| 2144|8.11|0.28| 0.70|0.17|1063| 205| 3| 960| 189|s        |
0SDSSJ074329.62+283528.0|DA/M  |53730|2075|427|10548|  483|9.23|0.27| 1.32|0.14| 176|  65| 3| 960| 189|s        |
1SDSSJ074334.26+344647.4|DA/M  |51993| 542|178|19416| 1475|8.14|0.29| 0.71|0.18| 759| 148| 6| 505| 233|s/e/h    |
0SDSSJ074334.26+344647.4|DA/M  |51993| 542|178|11302|  707|8.88|0.29| 1.13|0.16| 240|  67| 6| 505| 233|s/e/h    |
1SDSSJ074352.67+322547.2|DA/M  |52235| 755|449|12828|  654|8.21|0.18| 0.74|0.11| 253|  32| 5| 270| 138|s/e/h    |
0SDSSJ074352.67+322547.2|DA/M  |52235| 755|449|15782|  701|7.91|0.16| 0.56|0.09| 382|  38| 5| 270| 138|s/e/h    |
1SDSSJ074425.43+353040.8|DC/M  |51993| 542|329|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 526| 155|s/e/a/h  |
1SDSSJ074452.37+192526.0|DA/M  |53437|2074|529|10918|  725|8.13|0.49| 0.68|0.32| 527| 165| 3| 915| 180|s        |
0SDSSJ074452.37+192526.0|DA/M  |53437|2074|529|15422| 1721|7.52|0.44| 0.38|0.21|1100| 278| 3| 915| 180|s        |
1SDSSJ074520.05+234223.8|DA/M  |52577| 927|503|71310| 6629|7.20|0.31| 0.48|0.08|1731| 439| 1|2213| 433|s/e      |
0SDSSJ074520.05+234223.8|DA/M  |52577| 927|503| 6810|30740|9.11|2.25| 1.25|0.99|  30|  26| 1|2213| 433|s/e      |
1SDSSJ074532.48+430530.5|DA/M: |51885| 434|346|23613|  673|7.92|0.10| 0.59|0.06| 451|  30|-1|   0|   0|         |
0SDSSJ074532.48+430530.5|DA/M: |51885| 434|346|10189|  103|9.10|0.09| 1.25|0.05|  67|   7|-1|   0|   0|         |
1SDSSJ074632.05+181911.7|DA/M  |53437|2074|558|14393| 3221|7.39|0.83| 0.34|0.41|1451| 623| 3|1041| 205|s        |
0SDSSJ074632.05+181911.7|DA/M  |53437|2074|558|11565| 3749|7.65|1.10| 0.42|0.64|1020| 558| 3|1041| 205|s        |
1SDSSJ074730.57+430403.6|DA/M  |51885| 434|421|15964|  786|8.37|0.14| 0.85|0.09| 310|  32| 4| 333|  98|s/e/h    |
0SDSSJ074730.57+430403.6|DA/M  |51885| 434|421|14393| 1624|8.44|0.28| 0.89|0.16| 258|  52| 4| 333|  98|s/e/h    |
1SDSSJ074733.54+472003.9|DA/M  |53055|1737|327|19868|  773|7.75|0.15| 0.49|0.07| 493|  46| 6| 214|  99|s/e/h    |1,2
0SDSSJ074733.54+472003.9|DA/M  |53055|1737|327|10548|  203|8.70|0.16| 1.04|0.09| 134|  18| 6| 214|  99|s/e/h    |
1SDSSJ074754.81+273655.8|DA/M  |53737|2075|144|12392| 1046|7.53|0.19| 0.38|0.08| 258|  30| 6| 365| 168|s        |
0SDSSJ074754.81+273655.8|DA/M  |53737|2075|144|12110|  337|7.67|0.15| 0.43|0.07| 235|  21| 6| 365| 168|s        |
1SDSSJ074754.81+273655.8|DA/M  |53730|2075|149|13745|  276|7.46|0.06| 0.36|0.02| 343|  14| 6| 406| 187|s        |
0SDSSJ074754.81+273655.8|DA/M  |53730|2075|149|12250| 1256|7.47|0.24| 0.35|0.10| 288|  41| 6| 406| 187|s        |
1SDSSJ074805.69+381805.8|DA/M  |51873| 433|495| 9844|  212|7.86|0.34| 0.52|0.21| 285|  57| 7| 353| 195|s/e/a/h  |
0SDSSJ074805.69+381805.8|DA/M  |51873| 433|495|16910|  952|6.91|0.23| 0.24|0.05|1021| 152| 7| 353| 195|s/e/a/h  |
1SDSSJ074807.22+205814.2|DA/M  |52708|1263|448|87731|10728|7.17|0.38| 0.53|0.08|2053| 638| 2|2518| 600|s/e      |
0SDSSJ074807.22+205814.2|DA/M  |52708|1263|448| 6655|  205|9.22|0.27| 1.31|0.12|  25|  10| 2|2518| 600|s/e      |
1SDSSJ074809.73+492248.8|DA/M  |53318|1868|473| 8773|  124|8.11|0.25| 0.67|0.16| 165|  27| 6| 901| 416|re/s     |4
0SDSSJ074809.73+492248.8|DA/M  |53318|1868|473|24726| 2950|6.60|0.42| 0.21|0.09|1478| 348| 6| 901| 416|s        |
1SDSSJ074815.29+380845.9|DA/M  |51873| 433| 74|30419| 1505|7.80|0.39| 0.55|0.21|1217| 300| 3|1285| 253|s/e      |
0SDSSJ074815.29+380845.9|DA/M  |51873| 433| 74| 9187|  348|9.26|0.31| 1.33|0.16|  87|  41| 3|1285| 253|s/e      |
1SDSSJ074819.94+243607.5|DA/M  |52578| 928|284|16525|  903|7.81|0.21| 0.51|0.11| 514|  66| 3| 881| 174|s/e/h    |
0SDSSJ074819.94+243607.5|DA/M  |52578| 928|284|11433|  513|8.42|0.23| 0.87|0.14| 214|  36| 3| 881| 174|s/e/h    |
1SDSSJ074843.91+432922.8|DA/M  |51885| 434|370|18974| 4759|7.48|0.88| 0.38|0.46|1816| 836| 1|1458| 286|s/e/h    |
0SDSSJ074843.91+432922.8|DA/M  |51885| 434|370|10548| 1215|8.95|0.71| 1.17|0.37| 338| 243| 1|1458| 286|s/e/h    |
1SDSSJ074857.89+254045.4|DA/M  |52316| 858| 92|12828| 1526|7.75|0.40| 0.47|0.23| 382|  87| 5| 602| 308|s/e/h    |
0SDSSJ074857.89+254045.4|DA/M  |52316| 858| 92|12681| 1501|7.82|0.39| 0.51|0.23| 365|  83| 5| 602| 308|s/e/h    |
1SDSSJ074919.48+472058.3|WD/K  |53055|1737|411|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|s        |
0SDSSJ074919.48+472058.3|WD/K  |53055|1737|411|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|s        |
1SDSSJ075005.57+393301.5|DA/M  |51882| 435|241|16910| 3417|7.48|0.75| 0.38|0.38|1206| 483| 1|1030| 202|s/e      |
0SDSSJ075005.57+393301.5|DA/M  |51882| 435|241|10548| 6160|8.10|1.26| 0.66|0.72| 508| 359| 1|1030| 202|s/e      |
1SDSSJ075009.90+381641.6|DA/M  |51873| 433| 40|18120|  555|7.72|0.12| 0.47|0.06| 393|  30| 4| 415| 122|s/e/a/h  |
0SDSSJ075009.90+381641.6|DA/M  |51873| 433| 40|10793|  193|8.47|0.16| 0.90|0.10| 140|  17| 4| 415| 122|s/e/a/h  |
1SDSSJ075143.02+225425.7|DA/M  |52669|1204|201|16525| 1643|7.64|0.37| 0.43|0.19| 766| 166| 3|1400| 276|s/e/h    |
0SDSSJ075143.02+225425.7|DA/M  |52669|1204|201|11045|  801|8.15|0.51| 0.70|0.33| 350| 114| 3|1400| 276|s/e/h    |
1SDSSJ075145.77+271120.7|DA/M  |53737|2075|  5|12976|  882|7.66|0.32| 0.43|0.16| 710| 131| 3| 507| 100|s        |
0SDSSJ075145.77+271120.7|DA/M  |53737|2075|  5|12681|  985|7.69|0.36| 0.44|0.19| 696| 141| 3| 507| 100|s        |
1SDSSJ075145.77+271120.7|DA/M  |53730|2075| 20|11699|  666|7.85|0.33| 0.52|0.20| 459|  91| 4| 356| 105|s        |
0SDSSJ075145.77+271120.7|DA/M  |53730|2075| 20|15071| 1006|7.56|0.25| 0.40|0.11| 701| 107| 4| 356| 105|s        |
1SDSSJ075223.15+433212.2|DA/M  |51885| 434|566|23886| 1541|7.77|0.21| 0.51|0.11| 843| 113| 2| 798| 190|s/e/h    |
0SDSSJ075223.15+433212.2|DA/M  |51885| 434|566|10073|  235|9.02|0.19| 1.21|0.10| 123|  26| 2| 798| 190|s/e/h    |
1SDSSJ075235.79+401339.0|DB/M  |51882| 435|161|16811|   56|8.21|0.03| 0.00|0.00|   0|   0| 3|1295| 255|s/h      |
1SDSSJ075325.93+164132.7|DA/M  |53317|1921|177|15422| 5068|8.97|0.72| 1.18|0.37| 239| 177| 1| 641| 126|         |
0SDSSJ075325.93+164132.7|DA/M  |53317|1921|177|19416| 2087|8.53|0.39| 0.95|0.21| 442| 128| 1| 641| 126|         |
1SDSSJ075333.77+263803.4|DA/M  |52316| 858| 75|24726| 4848|8.16|0.82| 0.73|0.47|1103| 553| 4| 998| 294|s/e/h    |
0SDSSJ075333.77+263803.4|DA/M  |52316| 858| 75|10307| 1139|9.27|0.51| 1.34|0.26| 153| 117| 4| 998| 294|s/e/h    |
1SDSSJ075344.05+374818.3|DB/M  |52017| 543|506|15493|   71|8.99|0.02| 0.00|0.00|   0|   0| 2|1607| 383|s/e/h    |12
0SDSSJ075344.05+374818.3|DB/M  |52017| 543|506|15493|   71|8.99|0.02| 0.00|0.00|   0|   0| 2|1607| 383|s/e/h    |
1SDSSJ075407.21+313720.8|DA/M  |52583| 890|109|15071| 1454|8.08|0.27| 0.66|0.17| 486|  87| 4| 831| 245|s/e/h    |
0SDSSJ075407.21+313720.8|DA/M  |52583| 890|109|13745| 2096|8.18|0.38| 0.72|0.24| 421| 107| 4| 831| 245|s/e/h    |
1SDSSJ075455.81+294759.5|DA/M  |52636|1060|515|27425| 1291|7.92|0.21| 0.60|0.12| 705|  98| 3| 702| 138|s/e/h    |
0SDSSJ075455.81+294759.5|DA/M  |52636|1060|515| 9731|  235|9.19|0.19| 1.30|0.10|  79|  20| 3| 702| 138|s/e/h    |
1SDSSJ075508.69+122601.1|DA/M  |53674|2265|306|25595| 3942|7.74|0.65| 0.51|0.37|1356| 509| 0|1119| 151|         |
0SDSSJ075508.69+122601.1|DA/M  |53674|2265|306| 9844|  761|8.99|0.59| 1.19|0.30| 184| 114| 0|1119| 151|         |
1SDSSJ075520.05+274302.2|DA/M  |52317| 859|213|28389| 3284|8.44|0.70| 0.91|0.37| 856| 418| 3|1347| 265|s/e/h    |
0SDSSJ075520.05+274302.2|DA/M  |52317| 859|213|10073|  618|9.50|0.16| 1.46|0.08|  83|  32| 3|1347| 265|s/e/h    |
1SDSSJ075606.35+421613.0|DB/M  |51876| 437|267|15954|   30|9.00|0.00| 0.00|0.00|   0|   0| 3|1862| 367|s/e/h    |
0SDSSJ075606.35+421613.0|DB/M  |51869| 437|267|15954|   30|9.00|0.00| 0.00|0.00|   0|   0| 2|2224| 530|s/e/h    |
1SDSSJ075621.94+311439.5|DA/M  |52641|1061|307|15422|  941|7.66|0.22| 0.44|0.11| 431|  57| 5| 513| 263|s/e/h    |
0SDSSJ075621.94+311439.5|DA/M  |52641|1061|307|11565|  599|7.97|0.32| 0.59|0.21| 282|  54| 5| 513| 263|s/e/h    |
1SDSSJ075658.46+114919.4|DA/M  |53674|2265|129|27743| 1391|8.14|0.29| 0.72|0.18| 717| 146| 4| 501| 148|         |
0SDSSJ075658.46+114919.4|DA/M  |53674|2265|129| 9844|  274|9.50|0.16| 1.46|0.07|  55|  20| 4| 501| 148|         |
1SDSSJ075704.25+474252.3|DA:/K |53089|1779|135|48770|20169|7.30|1.17| 0.44|0.52|3521|2175|-1|   0|   0|s        |
0SDSSJ075704.25+474252.3|DA:/K |53089|1779|135| 6969| 1009|8.93|0.97| 1.16|0.46| 101| 101|-1|   0|   0|s        |
1SDSSJ075721.07+323054.4|DA/M  |52583| 890|543|20804|  229|7.76|0.04| 0.50|0.02| 177|   5| 3| 189|  37|s/e/h    |
0SDSSJ075721.07+323054.4|DA/M  |52583| 890|543|10670|   47|8.82|0.04| 1.10|0.02|  44|   2| 3| 189|  37|s/e/h    |
1SDSSJ075751.76+115822.3|WD/K  |53674|2265| 92|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ075751.76+115822.3|WD/K  |53674|2265| 92|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ075835.12+482523.6|WD/M  |53089|1779|180|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1| 956| 187|s/e      |
0SDSSJ075835.12+482523.6|WD/M  |53089|1779|180|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1| 956| 187|s/e      |
1SDSSJ075842.46+170950.5|DA/M  |53317|1921|621|31853|  969|7.90|0.23| 0.60|0.12| 817| 125| 4| 847| 249|s/h      |
0SDSSJ075842.46+170950.5|DA/M  |53317|1921|621| 9187|  174|9.50|0.10| 1.46|0.04|  38|   9| 4| 847| 249|s/h      |
1SDSSJ075919.41+321948.4|DA/M  |52583| 890|631|14065|  124|7.43|0.03| 0.35|0.01| 127|   3| 4| 172|  51|s/e/h    |
0SDSSJ075919.41+321948.4|DA/M  |52583| 890|631|11699|   92|7.75|0.04| 0.47|0.03|  86|   2| 4| 172|  51|s/e/h    |
1SDSSJ075942.72+345600.6|DB/M  |52238| 757| 61|16180|   47|9.00|0.00| 0.00|0.00|   0|   0| 4|1337| 394|s/e/h    |
1SDSSJ080011.79+114437.5|DA/M  |53794|2418|335|15964|  709|7.79|0.17| 0.50|0.09| 418|  43| 6| 231| 107|h        |
0SDSSJ080011.79+114437.5|DA/M  |53794|2418|335|11699|  502|8.33|0.20| 0.81|0.13| 218|  31| 6| 231| 107|h        |
1SDSSJ080029.11+491112.2|DA/M  |53089|1779|508| 8573|   93|8.30|0.18| 0.79|0.12| 107|  14| 8| 133|  54|s/e/h    |
0SDSSJ080029.11+491112.2|DA/M  |53089|1779|508|25891| 1523|6.28|0.24| 0.14|0.05|1421| 164| 8| 133|  54|s/e/h    |
1SDSSJ080031.57+072639.2|DA/M  |53442|2076|335|15964|  659|7.82|0.16| 0.52|0.09| 537|  52| 2| 683| 163|s        |
0SDSSJ080031.57+072639.2|DA/M  |53442|2076|335|12250|  751|8.23|0.17| 0.75|0.12| 308|  37| 2| 683| 163|s        |
1SDSSJ080045.06+500227.6|DA/M  |53089|1779|565|21535| 1212|7.84|0.20| 0.54|0.11| 540|  70| 3|1508| 297|s/e/h    |
0SDSSJ080045.06+500227.6|DA/M  |53089|1779|565|10307|  252|8.91|0.21| 1.15|0.11| 101|  20| 3|1508| 297|s/e/h    |
1SDSSJ080120.47+064614.8|DA/M  |53442|2076|271|19416|  275|7.88|0.05| 0.56|0.03| 279|   9|-1|   0|   0|re       |
0SDSSJ080120.47+064614.8|DA/M  |53442|2076|271|10793|   95|8.74|0.06| 1.06|0.04|  84|   4|-1|   0|   0|         |
1SDSSJ080144.38+221650.1|DA/M  |52943|1584|307|11699| 1608|7.13|0.89| 0.26|0.36| 847| 381| 3|1289| 254|re/s/e/h |
0SDSSJ080144.38+221650.1|DA/M  |52943|1584|307|11302| 1319|7.52|0.83| 0.37|0.46| 587| 249| 3|1289| 254|s/e/h    |
1SDSSJ080229.99+072858.1|DA/M  |53442|2076|380|19193|  808|7.85|0.16| 0.54|0.09| 647|  66| 1|1860| 364|re/s     |
0SDSSJ080229.99+072858.1|DA/M  |53442|2076|380|10918|  329|8.68|0.16| 1.03|0.10| 201|  27| 1|1860| 364|s        |
1SDSSJ080235.69+525736.3|DA/M  |53383|1870|556|11302|  545|8.07|0.28| 0.65|0.18| 281|  52| 5| 435| 222|s/h      |
0SDSSJ080235.69+525736.3|DA/M  |53383|1870|556|15422|  991|7.59|0.24| 0.41|0.11| 533|  78| 5| 435| 222|s/h      |
1SDSSJ080239.53+232423.5|(WD/M)|52705|1265|315|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ080239.53+232423.5|(WD/M)|52705|1265|315|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ080304.61+121810.3|DA/M  |53674|2265| 74|15964| 2229|9.00|0.49| 1.20|0.25| 177|  92| 2| 315|  75|         |2
0SDSSJ080304.61+121810.3|DA/M  |53674|2265| 74|17505|  971|8.84|0.22| 1.12|0.12| 232|  48| 2| 315|  75|         |
1SDSSJ080318.61+124726.5|DA/M  |53674|2265|600|47114|10756|7.90|0.80| 0.64|0.43|1765| 850|-1|   0|   0|h        |
0SDSSJ080318.61+124726.5|DA/M  |53674|2265|600| 7910|  353|9.50|0.14| 1.46|0.04|  51|  19|-1|   0|   0|h        |
1SDSSJ080319.50+231043.0|DA/M  |52705|1265|275|18542| 5851|6.89|1.04| 0.24|0.34|1988|1048| 4|2195| 646|s/e      |
