#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
0SDSSJ001853.79+005021.5|DA/M  |52518| 687|579| 9619| 1217|8.67|1.54| 1.02|0.82| 361| 286| 2|1235| 294|         |1
1SDSSJ001855.19+002134.5|DA/M  |52518| 687|556|10793| 5397|8.92|1.52| 1.16|0.80| 368| 189| 3|1075| 212|s        |
0SDSSJ001855.19+002134.5|DA/M  |52518| 687|556|16717| 8203|7.57|2.13| 0.41|1.15|1607|1470| 3|1075| 212|s        |2
1SDSSJ001855.19+002134.5|DA/M  |51816| 390|385|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 932| 184|s        |
0SDSSJ001855.19+002134.5|DA/M  |51816| 390|385|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 932| 184|s        |
1SDSSJ001855.19+002134.5|DA/M  |51900| 390|381|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 961| 189|s        |
0SDSSJ001855.19+002134.5|DA/M  |51900| 390|381|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 961| 189|s        |
1SDSSJ002143.78-001507.9|DA:/M |52203| 688|237| 7049|  506|7.28|1.75| 0.27|0.95| 324| 233| 3| 366|  72|re       |
0SDSSJ002143.78-001507.9|DA:/M |52203| 688|237|31853| 3907|5.00|0.17|-0.13|0.04|7745| 390| 3| 366|  72|         |
1SDSSJ002143.78-001507.9|DA:/M |52581|1119|146| 7910|  643|8.10|2.01| 0.66|1.11| 252| 229| 3| 357|  70|re       |
0SDSSJ002143.78-001507.9|DA:/M |52581|1119|146|25302| 5636|5.00|0.49|-0.12|0.10|5809| 839| 3| 357|  70|         |
1SDSSJ002157.90-110331.6|DA/M  |53321|1913|257|11045|  241|8.66|0.14| 1.01|0.08| 152|  18| 4| 301|  89|s/a      |
0SDSSJ002157.90-110331.6|DA/M  |53321|1913|257|18330|  561|7.81|0.13| 0.52|0.07| 471|  39| 4| 301|  89|s/a      |
1SDSSJ002200.03+004149.4|WD/M  |52203| 688|416|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 397|  78|         |
